 1 2  0.5016802674E-13 
 1 3  -1.006755471 
 1 4  0.3743156501E-13 
 1 5  0.2058883154E-13 
 1 6  0.1481979687E-13 
 1 7  -0.6967783719E-01 
 1 8  -0.9823799184E-15 
 1 9  -0.5724679056E-15 
 1 10  0.1118217295E-15 
 1 11  0.1983590650E-14 
 1 12  0.5377826476E-15 
 1 13  0.1008306115E-14 
 1 14  0.1753288850E-14 
 1 15  0.6175677514E-15 
 1 16  0.4755845293E-02 
 1 17  0.1305396886E-14 
 1 18  -0.3304723184E-14 
 1 19  -0.3881949931E-02 
 1 20  0.1461121352E-14 
 1 21  0.1458762683E-14 
 1 22  -0.2227031730E-15 
 1 23  -0.9386059968E-15 
 1 24  0.2687643673E-13 
 1 25  -0.1307923626E-01 
 1 26  -0.9609384440E-15 
 1 27  -0.1986204414E-02 
 1 28  0.6805403100E-15 
 1 29  -0.1414281251E-15 
 1 30  0.4084059022E-16 
 1 31  0.2157507398E-15 
 1 32  -0.1859800250E-05 
 1 33  -0.3791012092E-16 
 1 34  0.1991039087E-15 
 1 35  0.5208514119E-15 
 1 36  -0.3464078351E-15 
 1 37  -0.1868862790E-14 
 1 38  -0.2058581682E-02 
 1 39  0.3092226123E-15 
 1 40  0.1939933222E-15 
 1 41  0.8151794792E-16 
 1 42  -0.2656196590E-15 
 1 43  0.4265610012E-15 
 1 44  0.5556363030E-03 
 1 45  0.7732637361E-15 
 1 46  -0.2141486961E-15 
 1 47  -0.4372129042E-03 
 1 48  0.2864638958E-14 
 1 49  -0.4404323039E-15 
 1 50  0.1623802791E-15 
 2 3  0.5165259852E-14 
 2 4  -0.1184013464E-14 
 2 5  0.7905278029E-14 
 2 6  0.5479678058E-13 
 2 7  0.1243130287E-13 
 2 8  -0.6154281728E-12 
 2 9  -1.008161545 
 2 10  -0.1364473042E-12 
 2 11  0.9132479522E-13 
 2 12  0.2722394386E-13 
 2 13  0.2246256498E-13 
 2 14  0.3166932862E-13 
 2 15  -0.4222795091E-14 
 2 16  0.1319326575E-13 
 2 17  0.1481758357E-14 
 2 18  0.1239648304E-13 
 2 19  0.2124429952E-13 
 2 20  0.8952077478E-01 
 2 21  0.9429688518E-15 
 2 22  0.1098949948E-13 
 2 23  0.1723073491E-14 
 2 24  -0.3573705273E-14 
 2 25  0.4974102303E-14 
 2 26  -0.4461909170E-16 
 2 27  -0.1653885087E-14 
 2 28  -0.6773850064E-15 
 2 29  -0.1414472283E-14 
 2 30  -0.3009143414E-14 
 2 31  -0.2761918637E-14 
 2 32  -0.1491545928E-14 
 2 33  -0.1570573123E-16 
 2 34  0.1170609380E-14 
 2 35  0.2893715217E-15 
 2 36  -0.7366174910E-15 
 2 37  -0.3753925921E-04 
 2 38  0.2613033538E-14 
 2 39  -0.3085857229E-15 
 2 40  -0.8862804836E-15 
 2 41  -0.1535332450E-14 
 2 42  0.5686478400E-15 
 2 43  -0.4107357788E-15 
 2 44  -0.4904229709E-14 
 2 45  -0.3341508343E-14 
 2 46  0.3891643113E-15 
